model,threshold_from_chicago_val,chicago_val_roc_auc,chicago_val_pr_auc,nibrs_roc_auc,nibrs_pr_auc,nibrs_f1,nibrs_recall,nibrs_precision,nibrs_accuracy
logistic_regression,0.3499999999999999,0.8447164002995213,0.6032052104473942,0.4178696577972269,0.20194000573907656,0.39209726443769,0.9148936170212766,0.2495164410058027,0.2907801418439716
xgboost,0.57,0.9725922956486223,0.9450719070562396,0.3733464111463206,0.2099946467448106,0.2318840579710145,0.3404255319148936,0.17582417582417584,0.43617021276595747
random_forest,0.5199999999999999,0.9641958687249927,0.9296682795088083,0.356454236037758,0.19112845101744472,0.1702127659574468,0.22695035460992907,0.13617021276595745,0.44680851063829785
