feature,chi_mean,chi_std,ni_mean,ni_std,mean_ratio_ni_over_chi,ks_stat,ks_pvalue,wasserstein,ni_frac_outside_chi_p1_p99,ni_frac_abs_z_gt3,ni_frac_abs_z_gt5,chi_single_feature_auc,ni_single_feature_auc,auc_direction_flip_vs_0_5
hardship_index,61.05034382671501,29.097230371068974,53.1063829787234,23.835344631009622,0.8698785240171668,0.3075580634371228,2.063803306866133e-44,11.475709897043195,0.0425531914893617,0.0,0.0,0.6119355308387322,0.5857099743473668,False
spatial_lag_hardship,61.83289682570585,22.070190798283885,51.53888044579534,16.556412858749034,0.8335187754679,0.41446459475574815,1.0521964166802287e-81,11.703008819029614,0.0425531914893617,0.0,0.0,0.6056444525975172,0.6806750163472662,False
spatial_lag_crime_lag1,280.3512469462317,148.92648490000525,19569.39491303614,11436.21315033478,69.80313134397913,0.9166666666666666,4.05e-322,19305.717927593352,1.0,0.9166666666666666,0.9166666666666666,0.8742341057905008,0.46231745552705267,True
arrest_rate,1.0,0.0,0.28942205876258825,0.061605819721608154,0.28942205876258825,1.0,0.0,0.7105779412374117,1.0,,,0.5,0.21992522173599585,False
top_type_share,0.25970212453518904,0.07131935075721887,0.30931447765339687,0.04465731628327304,1.1910356074560549,0.5600359700023754,2.5656221527203904e-154,0.05335979231083173,0.005319148936170213,0.010638297872340425,0.0,0.5510075783740674,0.6261925121137435,False
