model,threshold_from_chicago_val,chicago_val_roc_auc,chicago_val_pr_auc,nibrs_roc_auc,nibrs_pr_auc,nibrs_f1,nibrs_recall,nibrs_precision,nibrs_accuracy
logistic_regression,0.5449999999999999,0.8272972748107192,0.5622505309160056,0.5238670087017756,0.25998935484556523,0.39209726443769,0.9148936170212766,0.2495164410058027,0.2907801418439716
xgboost,0.5599999999999999,0.9717739068610024,0.944187186742854,0.42806364535653807,0.2679901776839023,0.28720626631853785,0.3900709219858156,0.22727272727272727,0.5159574468085106
random_forest,0.6399999999999999,0.9632806649976173,0.9291032794328745,0.3555656154116996,0.19121514889904487,0.15120274914089346,0.15602836879432624,0.14666666666666667,0.5620567375886525
