model,split,threshold,roc_auc,pr_auc,f1,recall,precision,accuracy
xgboost,test,0.735,0.9910653549354497,0.9634199737396606,0.900523560209424,0.9297297297297298,0.8730964467005076,0.9588744588744589
random_forest,test,0.44499999999999995,0.9817613283107194,0.927783199385794,0.839907192575406,0.9783783783783784,0.7357723577235772,0.9253246753246753
logistic_regression,test,0.6549999999999999,0.8279998537102732,0.5021560457554839,0.5027932960893855,0.4864864864864865,0.5202312138728323,0.8073593073593074
xgboost,train,0.735,0.9923596576681394,0.9753686639674629,0.9223167718912983,0.9251101321585903,0.9195402298850575,0.9609008013263333
random_forest,train,0.44499999999999995,0.9864916976358351,0.9590747480359418,0.8609560786216938,0.9768722466960352,0.7696312364425163,0.9208344846642719
logistic_regression,train,0.6549999999999999,0.8780261969102872,0.6915503826196611,0.6543069024529378,0.6316079295154186,0.678698224852071,0.8325504282951092
xgboost,val,0.735,0.9854028787317243,0.9677642845057064,0.8922742110990207,0.845360824742268,0.9447004608294931,0.9464285714285714
random_forest,val,0.44499999999999995,0.9762092412885464,0.942625807421719,0.835707502374169,0.9072164948453608,0.7746478873239436,0.9063852813852814
logistic_regression,val,0.6549999999999999,0.8283274462790537,0.5656429130900542,0.5748898678414097,0.5381443298969072,0.6170212765957447,0.7911255411255411
