model,test_roc_auc_with,test_pr_auc_with,test_f1_with,test_recall_with,test_precision_with,test_accuracy_with,val_roc_auc_with,val_pr_auc_with,test_roc_auc_without,test_pr_auc_without,test_f1_without,test_recall_without,test_precision_without,test_accuracy_without,val_roc_auc_without,val_pr_auc_without,delta_test_roc_auc,delta_test_pr_auc,delta_test_f1,delta_test_recall,delta_test_precision,delta_test_accuracy,delta_val_roc_auc,delta_val_pr_auc
random_forest,0.9898767509051677,0.9603340846365085,0.8842105263157894,0.9081081081081082,0.8615384615384616,0.9523809523809523,0.9638971038718414,0.9293858402269757,0.9841275646417731,0.9396463107179062,0.8585858585858586,0.918918918918919,0.8056872037914692,0.9393939393939394,0.9425259622875556,0.8914799239271397,0.005749186263394601,0.020687773918602326,0.025624667729930883,-0.010810810810810811,0.0558512577469924,0.01298701298701288,0.02137114158428577,0.03790591629983597
xgboost,0.9938850894195955,0.9764775599088152,0.9090909090909091,0.9459459459459459,0.875,0.9621212121212122,0.9732586547261575,0.9458475476373729,0.9917638883809384,0.9680740741344362,0.8759493670886076,0.9351351351351351,0.8238095238095238,0.946969696969697,0.961286125965313,0.9313457261395819,0.0021212010386570945,0.008403485774378994,0.03314154200230146,0.010810810810810811,0.05119047619047623,0.015151515151515138,0.011972528760844425,0.014501821497791001
logistic_regression,0.828475295322386,0.501179771430877,0.5397590361445783,0.6054054054054054,0.48695652173913045,0.7932900432900433,0.8274727518890259,0.5624705614888811,0.8301576271806312,0.5088375523784907,0.5463182897862233,0.6216216216216216,0.4872881355932203,0.7932900432900433,0.8265015770246046,0.5646529896310755,-0.0016823318582452895,-0.007657780947613713,-0.006559253641645002,-0.01621621621621616,-0.00033161385408986277,0.0,0.0009711748644213314,-0.0021824281421943814
