setting,model,n_features,threshold,val_roc_auc,val_pr_auc,val_f1,val_recall,val_precision,val_accuracy,test_roc_auc,test_pr_auc,test_f1,test_recall,test_precision,test_accuracy
with_hardship,xgboost,5,0.74,0.9732586547261575,0.9458475476373729,0.864501679731243,0.7958762886597938,0.946078431372549,0.9345238095238095,0.9938850894195955,0.9764775599088152,0.9090909090909091,0.9459459459459459,0.875,0.9621212121212122
with_hardship,random_forest,5,0.62,0.9638971038718414,0.9293858402269757,0.8574585635359117,0.8,0.9238095238095239,0.9301948051948052,0.9898767509051677,0.9603340846365085,0.8842105263157894,0.9081081081081082,0.8615384615384616,0.9523809523809523
with_hardship,logistic_regression,5,0.5399999999999999,0.8274727518890259,0.5624705614888811,0.6310772163965681,0.6824742268041237,0.5868794326241135,0.7905844155844156,0.828475295322386,0.501179771430877,0.5397590361445783,0.6054054054054054,0.48695652173913045,0.7932900432900433
