community_area,month,primary_type,type_count
4,2025-02-01,MOTOR VEHICLE THEFT,6
4,2025-02-01,NARCOTICS,1
4,2025-02-01,OFFENSE INVOLVING CHILDREN,2
4,2025-02-01,OTHER OFFENSE,11
4,2025-02-01,PUBLIC PEACE VIOLATION,1
4,2025-02-01,ROBBERY,1
4,2025-02-01,STALKING,1
4,2025-02-01,THEFT,31
4,2025-02-01,WEAPONS VIOLATION,1
5,2025-01-01,ASSAULT,5
5,2025-01-01,BATTERY,7
5,2025-01-01,BURGLARY,7
5,2025-01-01,CRIMINAL DAMAGE,5
5,2025-01-01,CRIMINAL TRESPASS,3
5,2025-01-01,DECEPTIVE PRACTICE,9
5,2025-01-01,MOTOR VEHICLE THEFT,8
5,2025-01-01,NARCOTICS,3
5,2025-01-01,OTHER OFFENSE,11
5,2025-01-01,THEFT,31
5,2025-02-01,ASSAULT,4
5,2025-02-01,BATTERY,3
5,2025-02-01,BURGLARY,5
5,2025-02-01,CRIMINAL DAMAGE,9
5,2025-02-01,CRIMINAL TRESPASS,3
5,2025-02-01,DECEPTIVE PRACTICE,12
5,2025-02-01,MOTOR VEHICLE THEFT,3
5,2025-02-01,NARCOTICS,1
5,2025-02-01,OFFENSE INVOLVING CHILDREN,2
5,2025-02-01,OTHER OFFENSE,9
5,2025-02-01,PUBLIC PEACE VIOLATION,1
5,2025-02-01,ROBBERY,1
5,2025-02-01,SEX OFFENSE,2
5,2025-02-01,THEFT,20
5,2025-02-01,WEAPONS VIOLATION,1
6,2025-01-01,ASSAULT,20
6,2025-01-01,BATTERY,47
6,2025-01-01,BURGLARY,31
6,2025-01-01,CRIMINAL DAMAGE,20
6,2025-01-01,CRIMINAL SEXUAL ASSAULT,6
6,2025-01-01,CRIMINAL TRESPASS,12
6,2025-01-01,DECEPTIVE PRACTICE,48
6,2025-01-01,INTIMIDATION,1
6,2025-01-01,MOTOR VEHICLE THEFT,24
6,2025-01-01,NARCOTICS,9
6,2025-01-01,OTHER OFFENSE,19
6,2025-01-01,ROBBERY,12
6,2025-01-01,SEX OFFENSE,4
6,2025-01-01,THEFT,186
6,2025-01-01,WEAPONS VIOLATION,5
6,2025-02-01,ASSAULT,24
6,2025-02-01,BATTERY,45
6,2025-02-01,BURGLARY,20
6,2025-02-01,CONCEALED CARRY LICENSE VIOLATION,4
6,2025-02-01,CRIMINAL DAMAGE,24
6,2025-02-01,CRIMINAL SEXUAL ASSAULT,7
6,2025-02-01,CRIMINAL TRESPASS,8
6,2025-02-01,DECEPTIVE PRACTICE,48
6,2025-02-01,INTIMIDATION,1
6,2025-02-01,LIQUOR LAW VIOLATION,1
6,2025-02-01,MOTOR VEHICLE THEFT,19
6,2025-02-01,NARCOTICS,2
6,2025-02-01,OFFENSE INVOLVING CHILDREN,2
6,2025-02-01,OTHER OFFENSE,26
6,2025-02-01,PUBLIC PEACE VIOLATION,1
6,2025-02-01,ROBBERY,12
6,2025-02-01,SEX OFFENSE,1
6,2025-02-01,THEFT,143
6,2025-02-01,WEAPONS VIOLATION,2
7,2025-01-01,ARSON,1
7,2025-01-01,ASSAULT,8
7,2025-01-01,BATTERY,36
7,2025-01-01,BURGLARY,25
7,2025-01-01,CRIMINAL DAMAGE,14
7,2025-01-01,CRIMINAL SEXUAL ASSAULT,3
7,2025-01-01,CRIMINAL TRESPASS,9
7,2025-01-01,DECEPTIVE PRACTICE,32
7,2025-01-01,INTIMIDATION,1
7,2025-01-01,MOTOR VEHICLE THEFT,9
7,2025-01-01,NARCOTICS,1
7,2025-01-01,OFFENSE INVOLVING CHILDREN,2
7,2025-01-01,OTHER OFFENSE,8
7,2025-01-01,ROBBERY,7
7,2025-01-01,SEX OFFENSE,2
7,2025-01-01,THEFT,141
7,2025-01-01,WEAPONS VIOLATION,2
7,2025-02-01,ASSAULT,20
7,2025-02-01,BATTERY,25
7,2025-02-01,BURGLARY,15
7,2025-02-01,CRIMINAL DAMAGE,17
7,2025-02-01,CRIMINAL SEXUAL ASSAULT,3
7,2025-02-01,CRIMINAL TRESPASS,12
7,2025-02-01,DECEPTIVE PRACTICE,37
7,2025-02-01,MOTOR VEHICLE THEFT,13
7,2025-02-01,NARCOTICS,2
7,2025-02-01,OTHER OFFENSE,9
7,2025-02-01,PUBLIC PEACE VIOLATION,1
7,2025-02-01,ROBBERY,3
7,2025-02-01,SEX OFFENSE,4
7,2025-02-01,STALKING,1
7,2025-02-01,THEFT,119
7,2025-02-01,WEAPONS VIOLATION,1
8,2025-01-01,ARSON,1
8,2025-01-01,ASSAULT,44
8,2025-01-01,BATTERY,97
8,2025-01-01,BURGLARY,18
8,2025-01-01,CRIMINAL DAMAGE,42
8,2025-01-01,CRIMINAL SEXUAL ASSAULT,17
8,2025-01-01,CRIMINAL TRESPASS,33
8,2025-01-01,DECEPTIVE PRACTICE,104
8,2025-01-01,INTERFERENCE WITH PUBLIC OFFICER,3
8,2025-01-01,INTIMIDATION,1
8,2025-01-01,LIQUOR LAW VIOLATION,2
8,2025-01-01,MOTOR VEHICLE THEFT,20
8,2025-01-01,NARCOTICS,4
8,2025-01-01,OFFENSE INVOLVING CHILDREN,3
8,2025-01-01,OTHER OFFENSE,30
8,2025-01-01,PROSTITUTION,1
8,2025-01-01,PUBLIC PEACE VIOLATION,9
8,2025-01-01,ROBBERY,20
8,2025-01-01,SEX OFFENSE,4
8,2025-01-01,STALKING,5
8,2025-01-01,THEFT,301
8,2025-01-01,WEAPONS VIOLATION,20
8,2025-02-01,ASSAULT,48
8,2025-02-01,BATTERY,86
8,2025-02-01,BURGLARY,7
8,2025-02-01,CONCEALED CARRY LICENSE VIOLATION,1
8,2025-02-01,CRIMINAL DAMAGE,41
8,2025-02-01,CRIMINAL SEXUAL ASSAULT,11
8,2025-02-01,CRIMINAL TRESPASS,27
8,2025-02-01,DECEPTIVE PRACTICE,103
8,2025-02-01,HOMICIDE,1
8,2025-02-01,INTIMIDATION,2
8,2025-02-01,MOTOR VEHICLE THEFT,19
8,2025-02-01,NARCOTICS,7
8,2025-02-01,OFFENSE INVOLVING CHILDREN,2
8,2025-02-01,OTHER OFFENSE,32
8,2025-02-01,PROSTITUTION,1
8,2025-02-01,PUBLIC PEACE VIOLATION,5
8,2025-02-01,ROBBERY,14
8,2025-02-01,SEX OFFENSE,7
8,2025-02-01,THEFT,258
8,2025-02-01,WEAPONS VIOLATION,16
9,2025-01-01,ASSAULT,4
9,2025-01-01,BATTERY,3
9,2025-01-01,BURGLARY,4
9,2025-01-01,CRIMINAL DAMAGE,1
9,2025-01-01,DECEPTIVE PRACTICE,6
9,2025-01-01,OTHER OFFENSE,4
9,2025-01-01,THEFT,3
9,2025-02-01,ASSAULT,1
9,2025-02-01,BATTERY,4
9,2025-02-01,CRIMINAL DAMAGE,10
9,2025-02-01,DECEPTIVE PRACTICE,1
9,2025-02-01,INTERFERENCE WITH PUBLIC OFFICER,1
9,2025-02-01,OTHER OFFENSE,2
9,2025-02-01,THEFT,1
10,2025-01-01,ASSAULT,6
10,2025-01-01,BATTERY,16
10,2025-01-01,BURGLARY,9
10,2025-01-01,CRIMINAL DAMAGE,4
10,2025-01-01,CRIMINAL TRESPASS,4
10,2025-01-01,DECEPTIVE PRACTICE,11
10,2025-01-01,HOMICIDE,1
10,2025-01-01,LIQUOR LAW VIOLATION,1
10,2025-01-01,MOTOR VEHICLE THEFT,7
10,2025-01-01,NARCOTICS,1
10,2025-01-01,OFFENSE INVOLVING CHILDREN,1
10,2025-01-01,OTHER OFFENSE,9
10,2025-01-01,THEFT,16
10,2025-01-01,WEAPONS VIOLATION,2
10,2025-02-01,ASSAULT,4
10,2025-02-01,BATTERY,13
10,2025-02-01,BURGLARY,10
10,2025-02-01,CRIMINAL DAMAGE,5
10,2025-02-01,CRIMINAL SEXUAL ASSAULT,2
10,2025-02-01,CRIMINAL TRESPASS,4
10,2025-02-01,DECEPTIVE PRACTICE,11
10,2025-02-01,NARCOTICS,1
10,2025-02-01,OTHER OFFENSE,4
10,2025-02-01,THEFT,24
11,2025-01-01,ASSAULT,1
11,2025-01-01,BATTERY,11
11,2025-01-01,BURGLARY,1
11,2025-01-01,CRIMINAL DAMAGE,8
11,2025-01-01,CRIMINAL TRESPASS,2
11,2025-01-01,DECEPTIVE PRACTICE,4
11,2025-01-01,MOTOR VEHICLE THEFT,4
11,2025-01-01,NARCOTICS,2
11,2025-01-01,OTHER OFFENSE,7
11,2025-01-01,ROBBERY,5
11,2025-01-01,SEX OFFENSE,1
11,2025-01-01,THEFT,12
11,2025-01-01,WEAPONS VIOLATION,2
11,2025-02-01,ASSAULT,6
11,2025-02-01,BATTERY,9
11,2025-02-01,BURGLARY,2
11,2025-02-01,CRIMINAL DAMAGE,9
11,2025-02-01,CRIMINAL SEXUAL ASSAULT,1
11,2025-02-01,CRIMINAL TRESPASS,5
11,2025-02-01,DECEPTIVE PRACTICE,10
11,2025-02-01,MOTOR VEHICLE THEFT,3
11,2025-02-01,NARCOTICS,2
11,2025-02-01,OFFENSE INVOLVING CHILDREN,2
11,2025-02-01,OTHER OFFENSE,8
11,2025-02-01,ROBBERY,1
11,2025-02-01,THEFT,15
12,2025-01-01,ASSAULT,3
12,2025-01-01,BATTERY,5
12,2025-01-01,BURGLARY,2
12,2025-01-01,CRIMINAL DAMAGE,3
12,2025-01-01,DECEPTIVE PRACTICE,3
12,2025-01-01,MOTOR VEHICLE THEFT,3
12,2025-01-01,NARCOTICS,1
12,2025-01-01,OTHER OFFENSE,6
12,2025-01-01,SEX OFFENSE,1
12,2025-01-01,THEFT,11
12,2025-02-01,ASSAULT,4
12,2025-02-01,BATTERY,4
12,2025-02-01,BURGLARY,2
12,2025-02-01,DECEPTIVE PRACTICE,7
12,2025-02-01,MOTOR VEHICLE THEFT,1
12,2025-02-01,NARCOTICS,1
12,2025-02-01,OTHER OFFENSE,2
12,2025-02-01,ROBBERY,1
12,2025-02-01,THEFT,3
13,2025-01-01,ASSAULT,6
13,2025-01-01,BATTERY,10
13,2025-01-01,BURGLARY,1
13,2025-01-01,CRIMINAL DAMAGE,2
13,2025-01-01,CRIMINAL TRESPASS,3
13,2025-01-01,DECEPTIVE PRACTICE,7
13,2025-01-01,MOTOR VEHICLE THEFT,9
13,2025-01-01,NARCOTICS,2
13,2025-01-01,OFFENSE INVOLVING CHILDREN,2
13,2025-01-01,OTHER OFFENSE,1
13,2025-01-01,THEFT,35
13,2025-01-01,WEAPONS VIOLATION,4
13,2025-02-01,ASSAULT,2
13,2025-02-01,BATTERY,10
13,2025-02-01,BURGLARY,2
13,2025-02-01,CRIMINAL DAMAGE,7
13,2025-02-01,CRIMINAL TRESPASS,1
