feature,mean_abs_shap
roll_mean_3,0.13115825808019305
count_lag1,0.1266234635313575
roll_mean_12,0.09344658264710487
roll_mean_6,0.05466115965679607
count_lag3,0.04861224434994366
month_cos,0.03662876834856998
count_lag12,0.01970966558174859
count_lag6,0.018802769382942737
month_sin,0.0074302290041987065
top_type_share,0.007347137136110301
hardship_index,0.0060485081558784015
arrest_rate,0.0
