model,test_roc_auc_with,test_pr_auc_with,test_f1_with,test_recall_with,test_precision_with,test_accuracy_with,val_roc_auc_with,val_pr_auc_with,test_roc_auc_without,test_pr_auc_without,test_f1_without,test_recall_without,test_precision_without,test_accuracy_without,val_roc_auc_without,val_pr_auc_without,delta_test_roc_auc,delta_test_pr_auc,delta_test_f1,delta_test_recall,delta_test_precision,delta_test_accuracy,delta_val_roc_auc,delta_val_pr_auc
xgboost,0.9977398237208792,0.9907460575560165,0.9479166666666666,0.9837837837837838,0.914572864321608,0.9783549783549783,0.9934922207683172,0.9816679923259162,0.9977105657755184,0.9907441817818017,0.9479166666666666,0.9837837837837838,0.914572864321608,0.9783549783549783,0.993728207183971,0.9825307704122257,2.9257945360794402e-05,1.8757742148434176e-06,0.0,0.0,0.0,0.0,-0.0002359864156538105,-0.0008627780863095236
logistic_regression,0.9977837106389205,0.991314195107023,0.9509043927648578,0.9945945945945946,0.9108910891089109,0.9794372294372294,0.9942016927487123,0.9844002889797439,0.9977983396116008,0.9914178914098826,0.9316455696202531,0.9945945945945946,0.8761904761904762,0.9707792207792207,0.9945269304369531,0.9852321322854064,-1.462897268034169e-05,-0.00010369630285955722,0.019258823144604698,0.0,0.03470061291843474,0.008658008658008698,-0.0003252376882407759,-0.0008318433056625496
random_forest,0.9971180923819625,0.9883773985261453,0.9195979899497487,0.9891891891891892,0.8591549295774648,0.9653679653679653,0.993446838765307,0.9823167793171025,0.9977544526935596,0.9911319236018322,0.9454545454545454,0.9837837837837838,0.91,0.9772727272727273,0.9935587810393992,0.9826932418318413,-0.000636360311597084,-0.0027545250756869644,-0.025856555504796708,0.00540540540540535,-0.05084507042253528,-0.011904761904761973,-0.00011194227409216939,-0.00037646251473877346
