rank,cluster_label,crime_count_train,crime_pct_train,region_area_km2,region_area_pct_train_hull,centroid_lat,centroid_lon
1,3,903187,46.13293955639823,216.81286663774648,1.2865054288872884,41.90611329111116,-87.68921408741873
2,2,236460,12.077891829162649,55.941662517233105,0.3319417968383215,41.765845600558514,-87.64294377454075
3,4,99274,5.070712312646083,18.444444838355675,0.10944405092435402,41.75654064581381,-87.5702926272593
