model,threshold_from_chicago_val,chicago_val_roc_auc,chicago_val_pr_auc,nibrs_roc_auc,nibrs_pr_auc,nibrs_f1,nibrs_recall,nibrs_precision,nibrs_accuracy
logistic_regression,0.42999999999999994,0.8435576464893239,0.5856095116487805,0.4345857854232685,0.20659711941051606,0.39209726443769,0.9148936170212766,0.2495164410058027,0.2907801418439716
xgboost,0.57,0.9725922956486223,0.9450719070562396,0.3733464111463206,0.2099946467448106,0.2318840579710145,0.3404255319148936,0.17582417582417584,0.43617021276595747
random_forest,0.5199999999999999,0.9642230979267988,0.9297089386092587,0.3570745938333082,0.19126037898170178,0.1702127659574468,0.22695035460992907,0.13617021276595745,0.44680851063829785
