model,baseline_r0_roc_auc,baseline_ref_roc_auc,delta_roc_auc,baseline_r0_pr_auc,baseline_ref_pr_auc,delta_pr_auc
logistic_regression,0.521787971765337,0.521787971765337,0.0,0.2595834835926925,0.2595834835926925,0.0
random_forest,0.3570745938333082,0.3570745938333082,0.0,0.19126037898170178,0.1912603789817017,8.326672684688674e-17
xgboost,0.3733464111463206,0.3733464111463206,0.0,0.2099946467448106,0.2099946467448106,0.0
