round_id,reweight,clip_mode,clip_lower,clip_upper,raw_mean,raw_std,raw_p1,raw_p50,raw_p99,pct_clipped_low,pct_clipped_high,final_mean,final_std,final_min,final_max,n_source,n_target
R0,none,,,,,,,,,,,,,,,,
R1,none,,,,,,,,,,,,,,,,
R2,logistic,fixed,0.2,5.0,10435.043204997497,341523.27873443003,0.002264209435153871,0.5110535087510758,5177.941297389076,0.3455912508544087,0.19084073820915926,1.0000000000000002,1.1664316980886107,0.12365487612650285,3.091371903162571,7315.0,470.0
R3,logistic,fixed,0.1,10.0,10435.043204997497,341523.27873443003,0.002264209435153871,0.5110535087510758,5177.941297389076,0.25208475734791524,0.13752563226247436,1.0000000000000002,1.46631376166513,0.04200511398736842,4.200511398736841,7315.0,470.0
R4,xgboost,p1p99,8.022737165447325e-05,2.0201919078826904,0.14473864436149597,2.420680522918701,8.022737165447325e-05,0.001807075459510088,2.0201919078826904,0.009022556390977444,0.0101161995898838,1.0,4.551241874694824,0.0014690151438117027,36.991024017333984,7315.0,470.0
